Time [s],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [°C],max. Battery Temperature [°C],SoC [%],Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [°C],Heat Exchanger Temperature [°C],Cabin Temperature Sensor [°C]
0.0,472.0,0.0,0.0,-0.31,0.0,366.7,-11.4,11.0,12.0,31.5,2.96,3760.0,0.0,1,3.5,19.0,15.84
0.1,472.0,0.0,0.0,-0.32,0.0,366.7,-11.4,11.0,12.0,31.5,2.96,3793.7,0.0,1,3.5,19.02,15.84
0.2,472.0,0.0,0.0,-0.31,0.0,366.67,-11.84,11.0,12.0,31.5,2.96,3893.69,0.0,1,3.5,19.07,15.84
0.3,472.0,0.0,0.0,-0.28,0.0,366.62,-12.54,11.0,12.0,31.5,2.96,3993.68,0.0,1,3.5,19.12,15.84
0.4,472.0,0.0,0.0,-0.27,0.0,366.6,-12.71,11.0,12.0,31.5,2.96,4093.68,0.0,1,3.5,19.17,15.84
0.5,472.0,0.0,0.0,-0.32,0.0,366.6,-12.56,11.0,12.0,31.5,2.96,4193.68,0.0,1,3.5,19.22,15.84
0.6,472.0,0.0,0.0,-0.35,0.0,366.57,-12.5,11.0,12.0,31.5,2.96,4293.67,0.0,1,3.5,19.27,15.84
0.7,472.0,0.0,0.0,-0.31,0.0,366.52,-12.5,11.0,12.0,31.5,3.96,4400.39,0.0,1,3.5,19.32,15.84
0.8,472.0,0.0,0.0,-0.31,0.0,366.5,-13.1,11.0,12.0,31.5,3.96,4520.38,0.0,1,3.5,19.37,15.84
0.9,472.0,0.0,0.0,-0.31,0.0,366.5,-14.05,11.0,12.0,31.5,3.96,4633.65,0.0,1,3.5,19.42,15.84
1.0,472.0,0.0,0.0,-0.32,0.0,366.44,-14.08,11.0,12.0,31.5,3.96,4733.64,0.0,1,3.5,19.47,15.84
1.1,472.0,0.0,0.0,-0.31,0.0,366.34,-13.58,11.0,12.0,31.5,3.96,4833.64,0.0,1,3.5,19.52,15.84
1.2,472.0,0.0,0.0,-0.29,0.0,366.3,-14.0,11.0,12.0,31.5,3.96,4933.63,0.0,1,3.5,19.57,15.84
1.3,472.0,0.0,0.0,-0.29,0.0,366.3,-14.95,11.0,12.0,31.5,3.96,5033.62,0.0,1,3.5,19.62,15.84
1.4,472.0,0.0,0.0,-0.3,0.0,366.27,-14.98,11.0,12.0,31.5,3.96,5133.61,0.0,1,3.5,19.67,15.84
1.5,472.0,0.0,0.0,-0.3,0.0,366.22,-14.48,11.0,12.0,31.5,3.96,5240.33,0.0,1,3.5,19.72,15.84
1.6,472.0,0.0,0.0,-0.3,0.0,366.2,-14.62,11.0,12.0,31.5,3.96,5360.32,0.0,1,3.5,19.77,15.84
1.7,472.0,0.0,0.0,-0.31,0.0,366.2,-15.12,11.0,12.0,31.5,3.96,5473.6,0.0,1,3.5,19.82,15.84
1.8,472.0,0.0,0.0,-0.32,0.0,366.17,-15.58,11.0,12.0,31.5,3.96,5573.59,0.0,1,3.5,19.87,15.84
1.9,472.0,0.0,0.0,-0.33,0.0,366.12,-16.03,11.0,12.0,31.5,5.04,5707.16,0.0,1,3.5,19.92,15.84
2.0,472.0,0.0,0.0,-0.32,0.0,366.07,-16.26,11.0,12.0,31.5,5.04,5907.15,0.0,1,3.5,19.97,15.84
2.1,472.0,0.0,0.0,-0.32,0.0,366.02,-16.36,11.0,12.0,31.5,5.04,6040.0,0.0,1,3.5,20.02,15.84
2.2,472.0,0.0,0.0,-0.34,0.0,365.97,-16.84,11.0,12.0,31.5,5.04,6040.0,0.0,1,3.5,20.07,15.84
2.3,472.0,0.0,0.0,-0.33,0.0,365.92,-17.54,11.0,12.0,31.5,5.04,6080.27,0.0,1,3.5,20.12,15.84
2.4,472.0,0.0,0.0,-0.31,0.0,365.9,-17.77,11.0,12.0,31.5,5.04,6200.26,0.0,1,3.5,20.17,15.84
2.5,472.0,0.0,0.0,-0.3,0.0,365.9,-17.72,11.0,12.0,31.5,5.04,6313.55,0.0,1,3.5,20.22,15.84
2.6,472.0,0.0,0.0,-0.29,0.0,365.87,-17.92,11.0,12.0,31.5,5.04,6413.54,0.0,1,3.5,20.27,15.84
2.7,472.0,0.0,0.0,-0.31,0.0,365.82,-18.27,11.0,12.0,31.5,5.04,6513.54,0.0,1,3.5,20.32,15.84
2.8,472.0,0.0,0.0,-0.31,0.0,365.77,-18.56,11.0,12.0,31.5,5.04,6613.53,0.0,1,3.5,20.37,15.84
2.9,472.0,0.0,0.0,-0.29,0.0,365.72,-18.81,11.0,12.0,31.5,6.08,6733.63,0.0,1,3.5,20.42,15.84
3.0,472.0,0.0,0.0,-0.31,0.0,365.67,-19.09,11.0,12.0,31.5,6.08,6893.62,0.0,1,3.5,20.47,15.84
3.1,472.0,0.0,0.0,-0.29,0.0,365.62,-19.39,11.0,12.0,31.5,6.08,7000.0,0.0,1,3.5,20.5,15.84
3.2,472.0,0.0,0.0,-0.28,0.0,365.57,-19.59,11.0,12.0,31.5,6.08,7000.0,0.0,1,3.5,20.5,15.84
3.3,472.0,0.0,0.0,-0.29,0.0,365.52,-19.74,11.0,12.0,31.5,6.08,7000.0,0.0,1,3.5,20.5,15.84
